id,username,email,password,role,points,rank,gender,age,height_cm,weight_kg,bmi,country,occupation,createdAt
133,Đặng Mỹ Xuân,dangxuan133@outlook.com,user123,user,255,iron,Nữ,41,166,63.5,23.0,Việt Nam,Lập trình viên,2025-10-21T20:41:06
134,Lê Bích Phương,lephuong134@gmail.com,user123,user,2288,gold,Nữ,44,158,51.0,20.4,Việt Nam,Sinh viên,2026-04-23T20:41:06
135,Võ Minh Xuân,võxuan135@outlook.com,user123,user,1301,bronze,Nam,24,178,68.5,21.6,Úc,Kỹ sư phần mềm,2026-04-20T20:41:06
136,Hoàng Phương Mai,hoangmai136@yahoo.com,user123,user,12165,diamond,Nữ,37,163,48.7,18.3,Nhật Bản,Nhà báo,2025-11-20T20:41:06
137,Hoàng Đức Trung,hoangtrung137@yahoo.com,user123,user,2110,gold,Nam,25,163,58.9,22.2,Canada,Freelancer,2025-08-31T20:41:06
138,Bùi Đức Quân,bùiquan138@hotmail.com,user123,user,133,iron,Nam,33,168,66.2,23.5,Nhật Bản,Lập trình viên,2026-04-05T20:41:06
139,Phan Hữu Nhân,phannhan139@yahoo.com,user123,user,68,iron,Nam,39,175,76.0,24.8,Đức,Freelancer,2025-08-26T20:41:06
140,Phạm Văn Trung,phamtrung140@gmail.com,user123,user,19,iron,Nam,41,169,65.4,22.9,Úc,Freelancer,2025-08-29T20:41:06
141,Lý Kim Nga,lynga141@outlook.com,user123,user,12579,diamond,Nữ,22,170,66.5,23.0,Canada,Lập trình viên,2026-01-10T20:41:06
142,Đỗ Văn Bảo,dỗbao142@gmail.com,user123,user,872,bronze,Nam,44,162,57.2,21.8,Việt Nam,Giáo viên,2025-10-17T20:41:06
143,Phạm Mỹ Loan,phamloan143@outlook.com,user123,user,984,bronze,Nữ,19,154,50.8,21.4,Úc,Lập trình viên,2025-12-06T20:41:06
144,Vũ Bích Quỳnh,vũquynh144@yahoo.com,user123,user,3930,gold,Nữ,37,163,60.7,22.8,Hàn Quốc,Bác sĩ,2025-12-03T20:41:06
145,Phạm Ngọc Hoa,phamhoa145@gmail.com,user123,user,7922,platinum,Nữ,32,166,62.1,22.5,Hàn Quốc,Y tá,2026-01-13T20:41:06
146,Huỳnh Hữu Giang,huynhgiang146@gmail.com,user123,user,499,iron,Nam,36,168,59.9,21.2,Việt Nam,Kỹ sư phần mềm,2026-01-25T20:41:06
147,Hồ Thị Xuân,hoxuan147@outlook.com,user123,user,25367,master,Nữ,28,158,50.2,20.1,Việt Nam,Nhân viên văn phòng,2025-09-01T20:41:06
148,Dương Hữu Hiếu,duonghieu148@hotmail.com,user123,user,7338,platinum,Nam,27,165,60.7,22.3,Việt Nam,Giáo viên,2025-08-13T20:41:06
149,Phạm Quốc Thắng,phamthang149@hotmail.com,user123,user,1395,bronze,Nam,21,176,70.2,22.7,Mỹ,Sinh viên,2025-12-23T20:41:06
150,Phan Thanh Long,phanlong150@gmail.com,user123,user,1016,bronze,Nam,32,181,68.6,20.9,Mỹ,Kỹ sư phần mềm,2025-07-07T20:41:06
151,Dương Kim Nga,duongnga151@yahoo.com,user123,user,5811,platinum,Nữ,30,162,60.1,22.9,Canada,Marketing,2026-05-02T20:41:06
152,Đặng Văn Dũng,dangdũng152@yahoo.com,user123,user,5840,platinum,Nam,19,179,75.4,23.5,Việt Nam,Kiến trúc sư,2025-10-15T20:41:06
153,Võ Đức Minh,võminh153@outlook.com,user123,user,6806,platinum,Nam,39,174,62.0,20.5,Mỹ,Quản lý dự án,2025-11-22T20:41:06
154,Vũ Quốc Anh,vũanh154@gmail.com,user123,user,2573,gold,Nam,21,175,65.9,21.5,Việt Nam,Luật sư,2025-11-22T20:41:06
155,Huỳnh Phương Hoa,huynhhoa155@hotmail.com,user123,user,1177,bronze,Nữ,40,166,62.8,22.8,Pháp,Bác sĩ,2026-01-20T20:41:06
156,Ngô Mỹ Trang,ngotrang156@hotmail.com,user123,user,11300,diamond,Nữ,35,162,56.8,21.6,Trung Quốc,Kỹ sư phần mềm,2025-11-12T20:41:06
157,Đỗ Phương Mai,dỗmai157@yahoo.com,user123,user,1485,bronze,Nữ,18,160,60.1,23.5,Trung Quốc,Bác sĩ,2025-10-15T20:41:06
158,Vũ Bích Ngân,vũngan158@outlook.com,user123,user,24839,master,Nữ,45,169,57.4,20.1,Thái Lan,Giáo viên,2025-11-30T20:41:06
159,Bùi Văn Tuấn,bùituan159@yahoo.com,user123,user,9445,diamond,Nam,38,177,76.9,24.5,Việt Nam,Kỹ sư phần mềm,2026-03-11T20:41:06
160,Dương Văn Quang,duongquang160@yahoo.com,user123,user,5607,platinum,Nam,29,178,61.8,19.5,Canada,Nhân viên văn phòng,2025-07-29T20:41:06
161,Hồ Kim Xuân,hoxuan161@yahoo.com,user123,user,1884,gold,Nữ,18,170,66.9,23.1,Việt Nam,Kế toán,2025-10-17T20:41:06
162,Hồ Quốc Liêm,holiem162@gmail.com,user123,user,640,bronze,Nam,23,176,65.6,21.2,Hàn Quốc,Quản lý dự án,2026-03-28T20:41:06
163,Trần Thanh Hà,tranha163@yahoo.com,user123,user,1918,gold,Nữ,26,164,62.1,23.1,Pháp,Freelancer,2026-01-13T20:41:06
164,Lê Kim Xuân,lexuan164@gmail.com,user123,user,103,iron,Nữ,43,167,62.1,22.3,Trung Quốc,Freelancer,2026-02-05T20:41:06
165,Bùi Minh Phong,bùiphong165@outlook.com,user123,user,1992,gold,Nam,25,178,79.6,25.1,Úc,Sinh viên,2026-02-21T20:41:06
166,Lý Minh Phúc,lyphúc166@gmail.com,user123,user,5087,platinum,Nam,44,168,53.3,18.9,Việt Nam,Sinh viên,2026-03-07T20:41:06
167,Đặng Kim Nga,dangnga167@gmail.com,user123,user,14668,diamond,Nữ,42,164,49.3,18.3,Hàn Quốc,Sinh viên,2025-11-06T20:41:06
168,Ngô Công Lâm,ngolam168@outlook.com,user123,user,2079,gold,Nam,21,163,50.3,18.9,Mỹ,Kế toán,2025-08-21T20:41:06
169,Phan Phương Xuân,phanxuan169@outlook.com,user123,user,7213,platinum,Nữ,23,153,53.0,22.6,Đức,Bác sĩ,2026-05-04T20:41:06
